Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
Ace of Spades,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Clap When You Land,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Poet X,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
The Poet X,Banned in Libraries and Classrooms,,,New York,Marlboro Central School District,Feb-22,Administrator
The Poet X,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
The Poet X,Banned in Libraries,,,Virginia,New Kent County Public Schools,Oct-21,Administrator
Call Me By Your Name (Call Me By Your Name Series),Banned Pending Investigation,,,Virginia,Spotsylvania County Public Schools,Nov-21,Administrator
"How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
My Name Is María Isabel,Banned Pending Investigation,"Thompson, Kathryn Dyble","Cerro, Ana M.",Florida,Duval County Public Schools,Jan-22,Administrator
Time to Pray,Banned Pending Investigation,"Gannon, Ned","Albitar, Nuha",Florida,Duval County Public Schools,Jan-22,Administrator
Children of Blood and Bone (Legacy of Orïsha Series),Banned Pending Investigation,,,Texas,Katy Independent School District,Jan-22,Administrator
"47,000 Beads",Banned in Classrooms,"McGillis, Holly",,Pennsylvania,Central York School District,Aug-21,Administrator
Half of a Yellow Sun,Banned in Classrooms,,,Michigan,Hudsonville Public Schools,Jan-22,Formal Challenge
Cool for the Summer,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Accidental Adventures of India McAllister,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
How It All Blew Up,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
How It All Blew Up,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Mae Among the Stars,Banned in Classrooms,"Burrington, Stasia",,Pennsylvania,Central York School District,Aug-21,Administrator
"Love, Hate & Other Filters",Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
"Love, Hate & Other Filters",Banned in Libraries,,,Wisconsin,School District of Waukesha,Dec-21,Administrator
Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Here's to Us,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Kate in Waiting,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Leah on the Offbeat (Simonverse Series),Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
Leah on the Offbeat (Simonverse Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Love, Creekwood: A Simonverse Novella (Simonverse Series)",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
What If It's Us (What If It's Us Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
What If It's Us (What If It's Us Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
What If It's Us (What If It's Us Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Indivisible,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Undefeated,Banned in Classrooms,"Nelson, Kadir",,Pennsylvania,Central York School District,Aug-21,Administrator
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,"Forney, Ellen",,Florida,Indian River County School District,Nov-21,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,"Forney, Ellen",,Florida,Jackson County School District,Apr-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,"Forney, Ellen",,Florida,Lee County Schools,Mar-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Florida,Santa Rosa County District Schools,Apr-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,"Forney, Ellen",,Florida,St. Lucie Public Schools,Jan-22,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Florida,Walton County School District,Apr-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,"Forney, Ellen",,Georgia,Forsyth County Schools,Jan-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,"Forney, Ellen",,Idaho,Nampa School District,May-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,"Forney, Ellen",,Iowa,Ankeny Community School District,Nov-21,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Iowa,Ottumwa Community School District,Apr-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,"Forney, Ellen",,Kansas,Derby Public Schools,Nov-21,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Kansas,Goddard Public Schools,Nov-21,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Michigan,Gladwin Community Schools,May-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,"Forney, Ellen",,Mississippi,Madison County Schools,Apr-22,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Oklahoma,Bristow Public Schools,Oct-21,Administrator
The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,"Forney, Ellen",,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Thunder Boy Jr.,Banned Pending Investigation,"Morales, Yuyi",,Florida,Duval County Public Schools,Jan-22,Administrator
Girls Like Us (2019),Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
The Case for Loving: The Fight for Interracial Marriage,Banned in Classrooms,"Qualls, Sean",,Pennsylvania,Central York School District,Aug-21,Administrator
The House of the Spirits,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
The Ballad of Ami Miles,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Hear These Voices: Youth at the Edge of the Millennium,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
A is for Audra: Broadway's Leading Ladies from A to Z,Banned in Classrooms,"Emmerich, Peter",,Pennsylvania,Central York School District,Aug-21,Administrator
"Bioethics: Who Lives, Who Dies, And Who Decides?",Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
"Bioethics: Who Lives, Who Dies, And Who Decides?",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
"Bless Me, Ultima",Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
The Weight of the Stars,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Victories Greater Than Death (Unstoppable Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
