"","Month","Year","Trends_DMA","DMA","STATE","count"
"1","1","2022","US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",11
"2","1","2022","US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",176
"3","1","2022","US-GA-524","ATLANTA (GA)                                                         ","GA ",37
"4","1","2022","US-MI-505","DETROIT (MI)                                                         ","MI ",1
"5","1","2022","US-MO-609","ST. LOUIS (MO)                                                       ","MO ",1
"6","1","2022","US-NC-567","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ","NC ",1
"7","1","2022","US-NY-501","NEW YORK (NY)                                                        ","NY ",9
"8","1","2022","US-TX-618","HOUSTON (TX)                                                         ","TX ",71
"9","1","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",536
"10","1","2022","US-VA-556","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",1
"11","1","2022","US-VA-573","ROANOKE (VA) - LYNCHBURG (VA)                                        ","VA ",1
"12","1","2022","US-WA-819","SEATTLE (WA) - TACOMA (WA)                                           ","WA ",3
"13","1","2023","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",16
"14","1","2023","US-FL-686","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",28
"15","1","2023","US-MI-505","DETROIT (MI)                                                         ","MI ",6
"16","1","2023","US-NC-518","GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ","NC ",1
"17","1","2023","US-NY-501","NEW YORK (NY)                                                        ","NY ",2
"18","1","2023","US-PA-566","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",2
"19","1","2023","US-TN-659","NASHVILLE (TN)                                                       ","TN ",1
"20","1","2023","US-TX-618","HOUSTON (TX)                                                         ","TX ",73
"21","1","2023","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",26
"22","1","2023","US-TX-635","AUSTIN (TX)                                                          ","TX ",3
"23","1","2023","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",9
"24","1","2023","US-VA-517","CHARLOTTESVILLE (VA)                                                 ","VA ",17
"25","1","2023","US-VA-584","CHARLOTTESVILLE (VA)                                                 ","VA ",17
"26","1","2023","US-WI-617","MILWAUKEE (WI)                                                       ","WI ",3
"27","1","2023","US-WI-658","GREEN BAY (WI) - APPLETON (WI)                                       ","WI ",3
"28","10","2021","US-AK-743","ANCHORAGE (AK)                                                       ","AK ",1
"29","10","2021","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2
"30","10","2021","US-IA-679","DES MOINES (IA) - AMES (IA)                                          ","IA ",3
"31","10","2021","US-MO-609","ST. LOUIS (MO)                                                       ","MO ",12
"32","10","2021","US-MO-616","KANSAS CITY (MO)                                                     ","MO ",4
"33","10","2021","US-OK-650","OKLAHOMA CITY (OK)                                                   ","OK ",10
