"","Month","Year","Trends_DMA","DMA","STATE","count"
"1","1","2022","US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",176
"2","1","2022","US-GA-524","ATLANTA (GA)                                                         ","GA ",37
"3","1","2022","US-TX-618","HOUSTON (TX)                                                         ","TX ",71
"4","1","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",536
"5","1","2023","US-TX-618","HOUSTON (TX)                                                         ","TX ",73
"6","10","2022","US-SC-507","SAVANNAH (GA)                                                        ","SC ",99
"7","10","2022","US-TX-612","SHREVEPORT (LA)                                                      ","TX ",58
"8","10","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",510
"9","10","2022","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",40
"10","11","2021","US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",161
"11","11","2021","US-TX-618","HOUSTON (TX)                                                         ","TX ",46
"12","11","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",54
"13","11","2022","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",152
"14","12","2021","US-TX-618","HOUSTON (TX)                                                         ","TX ",34
"15","12","2021","US-TX-641","SAN ANTONIO (TX)                                                     ","TX ",435
"16","2","2022","US-TN-640","MEMPHIS (TN)                                                         ","TN ",327
"17","2","2023","US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",85
"18","2","2023","US-NC-550","WILMINGTON (NC)                                                      ","NC ",41
"19","2","2023","US-PA-508","PITTSBURGH (PA)                                                      ","PA ",151
"20","2","2023","US-PA-516","ERIE (PA)                                                            ","PA ",151
"21","2","2023","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",58
"22","3","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",42
"23","3","2022","US-TX-635","AUSTIN (TX)                                                          ","TX ",84
"24","3","2022","US-TX-641","SAN ANTONIO (TX)                                                     ","TX ",42
"25","3","2023","US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",36
"26","3","2023","US-OR-500","PORTLAND (OR)                                                        ","OR ",70
"27","3","2023","US-OR-820","PORTLAND (OR)                                                        ","OR ",70
"28","3","2023","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",90
"29","3","2023","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",30
"30","4","2022","US-FL-656","PANAMA CITY (FL)                                                     ","FL ",228
"31","4","2023","US-MO-543","SPRINGFIELD (MO)                                                     ","MO ",30
"32","4","2023","US-MO-619","SPRINGFIELD (MO)                                                     ","MO ",30
"33","5","2022","US-MI-540","TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",34
"34","6","2023","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",214
"35","7","2022","US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",102
"36","7","2022","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",130
"37","8","2021","US-PA-566","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",441
"38","8","2022","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",69
"39","8","2022","US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",2034
"40","8","2022","US-MO-609","ST. LOUIS (MO)                                                       ","MO ",49
"41","8","2022","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",59
"42","9","2022","US-FL-686","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",111
"43","9","2022","US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",252
"44","9","2022","US-MO-609","ST. LOUIS (MO)                                                       ","MO ",239
"45","9","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",87
