"","geo","DMA.x","STATE","code","std_avg_index_2019","avg_expenses_2019","avg_revenue_2019","std_avg_index_2021","avg_expenses_2021","avg_revenue_2021","num_lib_2019","num_lib_2021","tot_searches_after","tot_count","X","DMAINDEX","DMA.y","tot_pop","Trends_DMA"
"1","US-AK-743","ANCHORAGE (AK)                                                       ","AK ",743,NA,NA,NA,NA,NA,NA,1,1,38.5,2,174,156,"ANCHORAGE (AK)                                                       ",458570,"US-AK-743"
"2","US-AR-693","LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ","AR ",693,-0.314454579439709,2449489,3161301,-0.381540706519812,2662160,3733580,1,1,69.5,2,68,56,"LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ",1446568,"US-AR-693"
"3","US-CA-803","LOS ANGELES (CA)                                                     ","CA ",803,0.14590588939394,14248935.6388889,14964203.8611111,0.238457603005744,13705136.4722222,14774501.0555556,36,36,157.4,1,7,2,"LOS ANGELES (CA)                                                     ",18582805,"US-CA-803"
"4","US-CO-752","COLORADO SPRINGS (CO) - PUEBLO (CO)                                  ","CO ",752,1.67494596380592,17253462.5,16935968,1.53173947367449,18115605,18647593,2,2,115.5,3,111,94,"COLORADO SPRINGS (CO) - PUEBLO (CO)                                  ",1028407,"US-CO-752"
"5","US-FL-530","TALLAHASSEE (FL) - THOMASVILLE (GA)                                  ","FL ",530,NA,NA,NA,NA,NA,NA,2,2,86.6,20,124,107,"TALLAHASSEE (FL) - THOMASVILLE (GA)                                  ",752593,"US-FL-530"
"6","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",534,0.301167154609273,8871438.46153846,9355436.61538462,0.451214981294774,10173449.5833333,11156097.9166667,13,12,129.944117647059,445,26,20,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ",4476113,"US-FL-534"
"7","US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",548,-0.144319438900304,5508712.93333333,6658066.6,-0.0845224050480877,5719673.13333333,7463205.66666667,15,15,124.954545454545,491,50,39,"WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ",2189742,"US-FL-548"
"8","US-FL-571","FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",571,0.408069072019464,14646004,12608014.5,0.607965613565417,11360172.75,13828600,4,4,112.275,53,84,70,"FT. MYERS (FL) - NAPLES (FL)                                         ",1429362,"US-FL-571"
"9","US-FL-592","GAINESVILLE (FL)                                                     ","FL ",592,NA,NA,NA,NA,NA,NA,1,1,77,9,179,162,"GAINESVILLE (FL)                                                     ",357804,"US-FL-592"
"10","US-FL-656","PANAMA CITY (FL)                                                     ","FL ",656,-0.504346715044905,1344865,1348112.5,-0.542266056155305,1288035.5,1617585,2,2,51,228,177,159,"PANAMA CITY (FL)                                                     ",398655,"US-FL-656"
"11","US-FL-686","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",686,-0.293026539191597,3301847.75,3333800.5,-0.296636497726314,4193908.33333333,4838446,4,3,103.118181818182,250,75,62,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ",1489920,"US-FL-686"
"12","US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",718,-0.401434670466957,2522724,2519562,-0.420959587380224,2345254,2445769,1,1,74,2618,105,89,"JACKSON (MS)                                                         ",895459,"US-MS-718"
"13","US-GA-524","ATLANTA (GA)                                                         ","GA ",524,0.0299476723209736,4764216.66666667,4680931,0.155498612251393,4901321,5993457.66666667,4,4,156.06,67,15,9,"ATLANTA (GA)                                                         ",7191314,"US-GA-524"
"14","US-IA-624","SIOUX CITY (IA)                                                      ","IA ",624,-0.548080130682713,510670.083333333,459208.916666667,-0.575872116554073,350316.083333333,396060.166666667,12,12,68.2,2,157,140,"SIOUX CITY (IA)                                                      ",416669,"US-IA-624"
"15","US-IA-631","OTTUMWA (IA) - KIRKSVILLE (MO)                                       ","IA ",631,-0.556802703941906,233631.2,225355.2,-0.589378966063725,211319.4,208024.8,5,5,34.8,1,219,198,"OTTUMWA (IA) - KIRKSVILLE (MO)                                       ",127316,"US-IA-631"
"16","US-IA-679","DES MOINES (IA) - AMES (IA)                                          ","IA ",679,-0.509601551386591,1085302,1083301.2,-0.54261393224566,942963.275,1156060.825,40,40,53.4166666666667,17,86,72,"DES MOINES (IA) - AMES (IA)                                          ",1205458,"US-IA-679"
"17","US-IA-717","QUINCY (IL) - HANNIBAL (MO) - KEOKUK (IA)                            ","IA ",717,-0.551749008404128,244878,249984.4,-0.588911516184851,231728,273882.8,5,5,61.2,1,181,164,"QUINCY (IL) - HANNIBAL (MO) - KEOKUK (IA)                            ",263870,"US-IA-717"
"18","US-IA-725","SIOUX CITY (IA)                                                      ","IA ",725,-0.548080130682713,510670.083333333,459208.916666667,-0.575872116554073,350316.083333333,396060.166666667,12,12,36.3,4,158,140,"SIOUX CITY (IA)                                                      ",416669,"US-IA-725"
"19","US-IN-527","INDIANAPOLIS (IN)                                                    ","IN ",527,-0.134613309109937,3443130.85714286,4348260,-0.155440613531912,5912206.85714286,4069738,7,7,58.25,6,32,25,"INDIANAPOLIS (IN)                                                    ",3034780,"US-IN-527"
"20","US-IN-588","SOUTH BEND (IN) - ELKHART (IN)                                       ","IN ",588,-0.499022464953132,986564.55,1109609.8,-0.520786803010034,1086934.85,1198289.3,20,20,38,16,102,87,"SOUTH BEND (IN) - ELKHART (IN)                                       ",908011,"US-IN-588"
"21","US-IN-588","SOUTH BEND (IN) - ELKHART (IN)                                       ","IN ",588,-0.499022464953132,986564.55,1109609.8,-0.520786803010034,1086934.85,1198289.3,20,20,38,16,103,87,"SOUTH BEND (IN) - ELKHART (IN)                                       ",908011,"US-MI-588"
"22","US-KS-616","KANSAS CITY (MO)                                                     ","KS ",616,0.886018223051525,15110093,15339514,2.34574016444655,15397511,16797348.3333333,4,4,70.7,14,41,33,"KANSAS CITY (MO)                                                     ",2573316,"US-MO-616"
"23","US-KS-616","KANSAS CITY (MO)                                                     ","KS ",616,0.886018223051525,15110093,15339514,2.34574016444655,15397511,16797348.3333333,4,4,70.7,14,42,33,"KANSAS CITY (MO)                                                     ",2573316,"US-KS-616"
"24","US-KS-678","WICHITA (KS) - HUTCHINSON (KS)                                       ","KS ",678,-0.477452295251401,973506.071428571,1012714.71428571,-0.501248438565669,1004933.57142857,1111454.78571429,14,14,25.375,58,79,66,"WICHITA (KS) - HUTCHINSON (KS)                                       ",1207166,"US-KS-678"
"25","US-MD-576","SALISBURY (MD)                                                       ","MD ",576,-0.347101036351306,2628472,3014798,-0.438294561741184,2497851,3177653,1,1,38.25,2,169,151,"SALISBURY (MD)                                                       ",454539,"US-MD-576"
"26","US-MI-505","DETROIT (MI)                                                         ","MI ",505,-0.393337417998602,1981644.11267606,2071720.98591549,-0.424309784695219,2137802.64285714,2245269.41428571,71,70,74.96875,52,16,10,"DETROIT (MI)                                                         ",4941417,"US-MI-505"
"27","US-MI-540","TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",540,-0.549627762666868,286912.285714286,323261.857142857,-0.577988270792516,308849.142857143,363635.428571429,7,7,38.1875,70,130,113,"TRAVERSE CITY (MI) - CADILLAC (MI)                                   ",618411,"US-MI-540"
"28","US-MI-553","MARQUETTE (MI)                                                       ","MI ",553,-0.528700474469489,376814.5,340196,-0.568305181266123,341755.5,319510,2,2,84.75,1,194,177,"MARQUETTE (MI)                                                       ",215848,"US-MI-553"
"29","US-MI-563","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",563,-0.416859097168249,1717797.84210526,1759477.52631579,-0.435942746320572,1785339.89473684,1941959.05263158,19,19,61.9375,4,48,38,"GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ",2099377,"US-MI-563"
"30","US-MI-588","SOUTH BEND (IN) - ELKHART (IN)                                       ","MI ",588,-0.499022464953132,986564.55,1109609.8,-0.520786803010034,1086934.85,1198289.3,20,20,44,2,102,87,"SOUTH BEND (IN) - ELKHART (IN)                                       ",908011,"US-IN-588"
"31","US-MI-588","SOUTH BEND (IN) - ELKHART (IN)                                       ","MI ",588,-0.499022464953132,986564.55,1109609.8,-0.520786803010034,1086934.85,1198289.3,20,20,44,2,103,87,"SOUTH BEND (IN) - ELKHART (IN)                                       ",908011,"US-MI-588"
"32","US-MI-773","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",773,-0.416859097168249,1717797.84210526,1759477.52631579,-0.435942746320572,1785339.89473684,1941959.05263158,19,19,30.3625,4,49,38,"GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ",2099377,"US-MI-773"
"33","US-MO-543","SPRINGFIELD (MO)                                                     ","MO ",543,0.0443481843135458,6277153.33333333,6444173,0.0385062491314057,6884596,8088900.66666667,3,3,36.8125,144,87,73,"SPRINGFIELD (MO)                                                     ",1153004,"US-MO-543"
"34","US-MO-609","ST. LOUIS (MO)                                                       ","MO ",609,0.0199794972619217,7202681.875,6261349.5,0.0342921442892427,5737567.23529412,6523005,16,17,67.6833333333333,664,28,22,"ST. LOUIS (MO)                                                       ",3131060,"US-MO-609"
"35","US-MO-616","KANSAS CITY (MO)                                                     ","MO ",616,0.886018223051525,15110093,15339514,2.34574016444655,15397511,16797348.3333333,4,4,65.15,36,41,33,"KANSAS CITY (MO)                                                     ",2573316,"US-MO-616"
"36","US-MO-616","KANSAS CITY (MO)                                                     ","MO ",616,0.886018223051525,15110093,15339514,2.34574016444655,15397511,16797348.3333333,4,4,65.15,36,42,33,"KANSAS CITY (MO)                                                     ",2573316,"US-KS-616"
"37","US-MO-619","SPRINGFIELD (MO)                                                     ","MO ",619,0.0443481843135458,6277153.33333333,6444173,0.0385062491314057,6884596,8088900.66666667,3,3,33.9625,144,88,73,"SPRINGFIELD (MO)                                                     ",1153004,"US-MO-619"
"38","US-MS-718","JACKSON (MS)                                                         ","MS ",718,-0.401434670466957,2522724,2519562,-0.420959587380224,2345254,2445769,1,1,44.8,44,105,89,"JACKSON (MS)                                                         ",895459,"US-MS-718"
"39","US-NC-517","CHARLOTTE (NC)                                                       ","NC ",517,0.69077544270677,14516926,14878130,0.846085423518612,15736887,21109750.5,4,4,80.5625,12,35,28,"CHARLOTTE (NC)                                                       ",3382632,"US-NC-517"
"40","US-NC-517","CHARLOTTE (NC)                                                       ","NC ",517,0.69077544270677,14516926,14878130,0.846085423518612,15736887,21109750.5,4,4,80.5625,12,204,186,"CHARLOTTESVILLE                                                      ",46289,"US-VA-517"
"41","US-NC-517","CHARLOTTE (NC)                                                       ","NC ",517,0.69077544270677,14516926,14878130,0.846085423518612,15736887,21109750.5,4,4,80.5625,12,206,186,"CHARLOTTESVILLE (VA)                                                 ",174414,"US-VA-517"
