"","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month","avg_hits_next_month"
"1","US-FL-534","6","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",214,66.5,72
"2","US-FL-534","8","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",69,85.4,78.25
"3","US-FL-548","2","2023","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",85,52,55
"4","US-FL-548","3","2023","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",36,43.5,50.6
"5","US-FL-656","4","2022","PANAMA CITY (FL)                                                     ","FL ",228,25,0
"6","US-FL-686","9","2022","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",111,26.25,11.2
"7","US-FL-718","1","2022","JACKSONVILLE (FL)                                                    ","FL ",176,0,0
"8","US-FL-718","7","2022","JACKSONVILLE (FL)                                                    ","FL ",102,0,0
"9","US-FL-718","8","2022","JACKSONVILLE (FL)                                                    ","FL ",2034,0,0
"10","US-FL-718","9","2022","JACKSONVILLE (FL)                                                    ","FL ",252,0,0
"11","US-GA-524","1","2022","ATLANTA (GA)                                                         ","GA ",37,61,71.25
"12","US-MI-540","5","2022","TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",34,0,0
"13","US-MO-543","4","2023","SPRINGFIELD (MO)                                                     ","MO ",30,0,16.5
"14","US-MO-609","8","2022","ST. LOUIS (MO)                                                       ","MO ",49,79.6,67.25
"15","US-MO-609","9","2022","ST. LOUIS (MO)                                                       ","MO ",239,80.5,59.6
"16","US-MO-619","4","2023","SPRINGFIELD (MO)                                                     ","MO ",30,0,0
"17","US-NC-550","2","2023","WILMINGTON (NC)                                                      ","NC ",41,20,0
"18","US-OR-500","3","2023","PORTLAND (OR)                                                        ","OR ",70,0,0
"19","US-OR-820","3","2023","PORTLAND (OR)                                                        ","OR ",70,66.5,65.4
"20","US-PA-508","2","2023","PITTSBURGH (PA)                                                      ","PA ",151,52.2,62
"21","US-PA-516","2","2023","ERIE (PA)                                                            ","PA ",151,0,0
"22","US-SC-507","10","2022","SAVANNAH (GA)                                                        ","SC ",99,25,14.25
"23","US-TN-640","2","2022","MEMPHIS (TN)                                                         ","TN ",327,11,25.25
"24","US-TX-612","10","2022","SHREVEPORT (LA)                                                      ","TX ",58,0,25
"25","US-TX-618","1","2022","HOUSTON (TX)                                                         ","TX ",71,44.75,60.25
"26","US-TX-618","1","2023","HOUSTON (TX)                                                         ","TX ",73,46,69
"27","US-TX-618","12","2021","HOUSTON (TX)                                                         ","TX ",34,56,55.2
"28","US-TX-623","1","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",536,54.125,65.625
"29","US-TX-623","10","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",510,70.75,52.125
"30","US-TX-623","11","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",54,67.9,52.5
"31","US-TX-623","3","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",42,65.625,58.375
"32","US-TX-623","3","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",90,68.25,63.6
"33","US-TX-623","9","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",87,71,67.9
"34","US-TX-635","3","2022","AUSTIN (TX)                                                          ","TX ",84,49.25,41.5
"35","US-TX-641","12","2021","SAN ANTONIO (TX)                                                     ","TX ",435,49,29.2
"36","US-TX-641","3","2022","SAN ANTONIO (TX)                                                     ","TX ",42,52,50.5
"37","US-UT-770","10","2022","SALT LAKE CITY (UT)                                                  ","UT ",40,66.4166666666667,53
"38","US-UT-770","11","2022","SALT LAKE CITY (UT)                                                  ","UT ",152,48.8666666666667,30.3333333333333
"39","US-UT-770","2","2023","SALT LAKE CITY (UT)                                                  ","UT ",58,66.3333333333333,55.1666666666667
"40","US-UT-770","3","2023","SALT LAKE CITY (UT)                                                  ","UT ",30,54.6666666666667,56.2666666666667
"41","US-UT-770","7","2022","SALT LAKE CITY (UT)                                                  ","UT ",130,73.0833333333333,54
"42","US-UT-770","8","2022","SALT LAKE CITY (UT)                                                  ","UT ",59,61.9333333333333,66.4166666666667
"43","US-FL-548","11","2021","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",161,NA,44.75
"44","US-TX-618","11","2021","HOUSTON (TX)                                                         ","TX ",46,NA,44.75
