"","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month","avg_hits_next_month"
"1","US-AR-693","10","2022","LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ","AR ",2,0,14.5
"2","US-CA-803","9","2022","LOS ANGELES (CA)                                                     ","CA ",1,83.25,72
"3","US-CO-752","5","2023","COLORADO SPRINGS (CO) - PUEBLO (CO)                                  ","CO ",3,20.8,32.75
"4","US-FL-530","3","2023","TALLAHASSEE (FL) - THOMASVILLE (GA)                                  ","FL ",20,22.25,14.4
"5","US-FL-534","1","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",16,58.75,59.5
"6","US-FL-534","10","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",19,75,60.75
"7","US-FL-534","11","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2,67.8,58.75
"8","US-FL-534","12","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2,60.75,78.4
"9","US-FL-534","3","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",20,63.75,58.75
"10","US-FL-534","3","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",19,59.5,63
"11","US-FL-534","4","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2,66.5,63
"12","US-FL-534","5","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",22,58.75,78
"13","US-FL-534","5","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",26,63,67
"14","US-FL-534","6","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",214,63,71.8
"15","US-FL-534","7","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",3,78,82.25
"16","US-FL-534","8","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",69,76,75
