,Title,State,District,Date.of.Challenge.Removal,Month,Year,school_district,County_Merge,County.FIPS,county_state,STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH,DMAINDEX,DMA,code,Trends_DMA
1726,Gender Queer: A Memoir,Alaska,Anchorage School District,21-Oct,10,2021,anchorage school district,anchorage borough,20,"anchorage borough, AK",AK ,Anchorage Borough           ,2,20,95010,156,ANCHORAGE (AK)                                                       ,743,US-AK-743
72,The Absolutely True Diary of a Part-Time Indian,Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
121,Me and Earl and the Dying Girl,Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
203,The Handmaid's Tale,Georgia,Forsyth County Schools,22-Jan,1,2022,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
828,Perfect Chemistry (Perfect Chemistry Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,19,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
829,Perfect Chemistry (Perfect Chemistry Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,bartow county,15,"bartow, GA",GA ,Bartow                      ,13,15,28710,9,ATLANTA (GA)                                                         ,524,US-GA-524
830,Perfect Chemistry (Perfect Chemistry Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,57,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
831,Perfect Chemistry (Perfect Chemistry Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,pickens county,227,"pickens, GA",GA ,Pickens                     ,13,227,10000,9,ATLANTA (GA)                                                         ,524,US-GA-524
832,Perfect Chemistry (Perfect Chemistry Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,21,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1038,Girl Mans Up,Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,19,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1039,Girl Mans Up,Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,bartow county,15,"bartow, GA",GA ,Bartow                      ,13,15,28710,9,ATLANTA (GA)                                                         ,524,US-GA-524
1040,Girl Mans Up,Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,57,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1041,Girl Mans Up,Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,pickens county,227,"pickens, GA",GA ,Pickens                     ,13,227,10000,9,ATLANTA (GA)                                                         ,524,US-GA-524
1042,Girl Mans Up,Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,21,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1186,Homegoing,Georgia,Cherokee County School District,22-Mar,3,2022,cherokee county school district,cherokee county,19,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1187,Homegoing,Georgia,Cherokee County School District,22-Mar,3,2022,cherokee county school district,bartow county,15,"bartow, GA",GA ,Bartow                      ,13,15,28710,9,ATLANTA (GA)                                                         ,524,US-GA-524
1188,Homegoing,Georgia,Cherokee County School District,22-Mar,3,2022,cherokee county school district,cherokee county,57,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1189,Homegoing,Georgia,Cherokee County School District,22-Mar,3,2022,cherokee county school district,pickens county,227,"pickens, GA",GA ,Pickens                     ,13,227,10000,9,ATLANTA (GA)                                                         ,524,US-GA-524
1190,Homegoing,Georgia,Cherokee County School District,22-Mar,3,2022,cherokee county school district,cherokee county,21,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1296,Crank (Crank Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,cherokee county,19,"cherokee, GA",GA ,Cherokee                    ,13,57,54210,9,ATLANTA (GA)                                                         ,524,US-GA-524
1297,Crank (Crank Series),Georgia,Cherokee County School District,22-Jan,1,2022,cherokee county school district,bartow county,15,"bartow, GA",GA ,Bartow                      ,13,15,28710,9,ATLANTA (GA)                                                         ,524,US-GA-524
