"","date","hits","keyword","geo","trends_month","trends_year"
"1",2021-11-28,0,"library near me","US-FL-718",11,2021
"2",2021-12-05,0,"library near me","US-FL-718",12,2021
"3",2021-12-12,0,"library near me","US-FL-718",12,2021
"4",2021-12-19,0,"library near me","US-FL-718",12,2021
"5",2021-12-26,0,"library near me","US-FL-718",12,2021
"6",2022-01-02,0,"library near me","US-FL-718",1,2022
"7",2022-01-09,0,"library near me","US-FL-718",1,2022
"8",2022-01-16,0,"library near me","US-FL-718",1,2022
"9",2022-01-23,0,"library near me","US-FL-718",1,2022
"10",2022-01-30,0,"library near me","US-FL-718",1,2022
"11",2022-02-06,0,"library near me","US-FL-718",2,2022
"12",2022-02-13,0,"library near me","US-FL-718",2,2022
"13",2022-02-20,0,"library near me","US-FL-718",2,2022
"14",2022-02-27,0,"library near me","US-FL-718",2,2022
"15",2022-03-06,0,"library near me","US-FL-718",3,2022
"16",2022-03-13,0,"library near me","US-FL-718",3,2022
"17",2022-03-20,0,"library near me","US-FL-718",3,2022
"18",2022-03-27,0,"library near me","US-FL-718",3,2022
"19",2022-04-03,0,"library near me","US-FL-718",4,2022
"20",2022-04-10,0,"library near me","US-FL-718",4,2022
"21",2022-04-17,0,"library near me","US-FL-718",4,2022
"22",2022-04-24,0,"library near me","US-FL-718",4,2022
"23",2022-05-01,0,"library near me","US-FL-718",5,2022
"24",2022-05-08,0,"library near me","US-FL-718",5,2022
"25",2022-05-15,0,"library near me","US-FL-718",5,2022
"26",2022-05-22,0,"library near me","US-FL-718",5,2022
"27",2022-05-29,0,"library near me","US-FL-718",5,2022
"28",2022-06-05,0,"library near me","US-FL-718",6,2022
"29",2022-06-12,0,"library near me","US-FL-718",6,2022
"30",2022-06-19,0,"library near me","US-FL-718",6,2022
"31",2022-06-26,0,"library near me","US-FL-718",6,2022
"32",2022-07-03,0,"library near me","US-FL-718",7,2022
"33",2022-07-10,0,"library near me","US-FL-718",7,2022
"34",2022-07-17,0,"library near me","US-FL-718",7,2022
"35",2022-07-24,0,"library near me","US-FL-718",7,2022
"36",2022-07-31,0,"library near me","US-FL-718",7,2022
"37",2022-08-07,0,"library near me","US-FL-718",8,2022
"38",2022-08-14,0,"library near me","US-FL-718",8,2022
"39",2022-08-21,0,"library near me","US-FL-718",8,2022
"40",2022-08-28,0,"library near me","US-FL-718",8,2022
"41",2022-09-04,0,"library near me","US-FL-718",9,2022
"42",2022-09-11,0,"library near me","US-FL-718",9,2022
"43",2022-09-18,0,"library near me","US-FL-718",9,2022
"44",2022-09-25,0,"library near me","US-FL-718",9,2022
"45",2022-10-02,0,"library near me","US-FL-718",10,2022
"46",2022-10-09,0,"library near me","US-FL-718",10,2022
"47",2022-10-16,0,"library near me","US-FL-718",10,2022
"48",2022-10-23,0,"library near me","US-FL-718",10,2022
"49",2022-10-30,0,"library near me","US-FL-718",10,2022
"50",2022-11-06,0,"library near me","US-FL-718",11,2022
"51",2022-11-13,0,"library near me","US-FL-718",11,2022
