"","DMAINDEX","DMA","tot_pop","code","Trends_DMA"
"1",1,"FAIRBANKS (AK)                                                       ",5355,501,"US-NY-501"
"2",1,"FAIRBANKS (AK)                                                       ",5355,501,"US-PA-501"
"3",1,"FAIRBANKS (AK)                                                       ",5355,501,"US-NJ-501"
"4",1,"NEW YORK (NY)                                                        ",NA,501,"US-NY-501"
"5",1,"NEW YORK (NY)                                                        ",NA,501,"US-PA-501"
"6",1,"NEW YORK (NY)                                                        ",NA,501,"US-NJ-501"
"7",2,"LOS ANGELES (CA)                                                     ",18582805,803,"US-CA-803"
"8",3,"CHICAGO (IL)                                                         ",9727393,NA,NA
"9",4,"PHILADELPHIA (PA)                                                    ",8335425,504,"US-PA-504"
"10",5,"SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ",7394062,NA,NA
"11",6,"BOSTON (MA) - MANCHESTER (NH)                                        ",6798423,NA,NA
"12",7,"DALLAS (TX) - FT. WORTH (TX)                                         ",8368978,623,"US-TX-623"
"13",8,"WASHINGTON (DC) - HAGERSTOWN (MD)                                    ",6976688,511,"US-VA-511"
"14",8,"WASHINGTON, DC(HAGRSTWN)                                             ",312516,511,"US-VA-511"
"15",9,"ATLANTA (GA)                                                         ",7191314,524,"US-GA-524"
"16",10,"DETROIT (MI)                                                         ",4941417,505,"US-MI-505"
"17",11,"HOUSTON (TX)                                                         ",7496820,618,"US-TX-618"
"18",12,"SEATTLE (WA) - TACOMA (WA)                                           ",5512286,819,"US-WA-819"
"19",13,"TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL)                     ",5058040,NA,"US-FL-NA"
"20",14,"MINNEAPOLIS (MN) - ST. PAUL (MN)                                     ",4852299,NA,NA
"21",15,"CLEVELAND (OH) - AKRON (OH) - CANTON (OH)                            ",3844103,NA,NA
"22",16,"PHOENIX (AZ)                                                         ",5686119,NA,NA
"23",17,"MIAMI (FL) - FT. LAUDERDALE (FL)                                     ",NA,NA,"US-FL-NA"
"24",18,"DENVER (CO)                                                          ",4516413,NA,NA
"25",19,"SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ",4645925,NA,NA
"26",20,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ",4476113,534,"US-FL-534"
"27",21,"PITTSBURGH (PA)                                                      ",2834556,508,"US-PA-508"
"28",22,"ST. LOUIS (MO)                                                       ",3131060,609,"US-MO-609"
"29",23,"PORTLAND (OR)                                                        ",3492236,500,"US-OR-500"
"30",23,"PORTLAND (OR)                                                        ",3492236,820,"US-OR-820"
"31",24,"BALTIMORE (MD)                                                       ",3034153,NA,NA
"32",25,"INDIANAPOLIS (IN)                                                    ",3034780,527,"US-IN-527"
"33",26,"SAN DIEGO (CA)                                                       ",3289701,NA,NA
"34",27,"HARTFORD (CT) - NEW HAVEN (CT)                                       ",NA,NA,NA
"35",28,"CHARLOTTE (NC)                                                       ",3382632,517,"US-NC-517"
"36",28,"CHARLOTTE (NC)                                                       ",3382632,584,"US-NC-584"
"37",29,"RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)                       ",3295727,560,"US-NC-560"
"38",30,"NASHVILLE (TN)                                                       ",3041970,659,"US-TN-659"
"39",31,"MILWAUKEE (WI)                                                       ",2332533,617,"US-WI-617"
"40",32,"CINCINNATI (OH)                                                      ",2435789,NA,NA
"41",33,"KANSAS CITY (MO)                                                     ",2573316,616,"US-MO-616"
"42",33,"KANSAS CITY (MO)                                                     ",2573316,616,"US-KS-616"
"43",34,"COLUMBUS (OH)                                                        ",2559627,NA,NA
"44",35,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ",2379868,567,"US-NC-567"
"45",35,"GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ",2379868,567,"US-SC-567"
"46",36,"SALT LAKE CITY (UT)                                                  ",3466961,770,"US-UT-770"
"47",37,"SAN ANTONIO (TX)                                                     ",2887367,641,"US-TX-641"
"48",38,"GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ",2099377,563,"US-MI-563"
"49",38,"GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ",2099377,773,"US-MI-773"
"50",39,"WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ",2189742,548,"US-FL-548"
"51",40,"BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ",1949609,NA,NA
"52",41,"NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   ",1957574,544,"US-VA-544"
"53",41,"NORFOLK-PORTSMTH-NEWPT NWS                                           ",43727,544,"US-VA-544"
"54",42,"NEW ORLEANS (LA)                                                     ",1752267,NA,NA
"55",43,"MEMPHIS (TN)                                                         ",1840614,640,"US-TN-640"
"56",44,"BUFFALO (NY)                                                         ",1610663,NA,NA
"57",45,"OKLAHOMA CITY (OK)                                                   ",1979496,650,"US-OK-650"
