"","Month","Year","Trends_DMA","DMA","STATE","count"
"1",1,2022,"US-FL-561","JACKSONVILLE (FL)                                                    ","FL ",176
"2",1,2022,"US-GA-524","ATLANTA (GA)                                                         ","GA ",37
"3",1,2022,"US-TX-618","HOUSTON (TX)                                                         ","TX ",71
"4",1,2022,"US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",536
"5",1,2023,"US-TX-618","HOUSTON (TX)                                                         ","TX ",73
"6",2,2022,"US-TN-640","MEMPHIS (TN)                                                         ","TN ",327
"7",2,2023,"US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",85
"8",2,2023,"US-NC-550","WILMINGTON (NC)                                                      ","NC ",41
"9",2,2023,"US-PA-508","PITTSBURGH (PA)                                                      ","PA ",151
"10",2,2023,"US-PA-516","ERIE (PA)                                                            ","PA ",151
"11",2,2023,"US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",58
"12",3,2022,"US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",42
"13",3,2022,"US-TX-635","AUSTIN (TX)                                                          ","TX ",84
"14",3,2022,"US-TX-641","SAN ANTONIO (TX)                                                     ","TX ",42
"15",3,2023,"US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",36
"16",3,2023,"US-OR-500","PORTLAND (OR)                                                        ","OR ",70
"17",3,2023,"US-OR-820","PORTLAND (OR)                                                        ","OR ",70
"18",3,2023,"US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",90
"19",3,2023,"US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",30
"20",4,2022,"US-FL-656","PANAMA CITY (FL)                                                     ","FL ",228
"21",4,2023,"US-MO-543","SPRINGFIELD (MO)                                                     ","MO ",30
"22",4,2023,"US-MO-619","SPRINGFIELD (MO)                                                     ","MO ",30
"23",5,2022,"US-MI-540","TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",34
"24",6,2023,"US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",214
"25",7,2022,"US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",102
"26",7,2022,"US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",130
"27",8,2021,"US-PA-566","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",441
"28",8,2022,"US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",69
"29",8,2022,"US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",2034
"30",8,2022,"US-MO-609","ST. LOUIS (MO)                                                       ","MO ",49
"31",8,2022,"US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",59
"32",9,2022,"US-FL-686","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",111
"33",9,2022,"US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",252
"34",9,2022,"US-MO-609","ST. LOUIS (MO)                                                       ","MO ",239
"35",9,2022,"US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",87
"36",10,2022,"US-SC-507","SAVANNAH (GA)                                                        ","SC ",99
"37",10,2022,"US-TX-612","SHREVEPORT (LA)                                                      ","TX ",58
"38",10,2022,"US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",510
"39",10,2022,"US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",40
"40",11,2021,"US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",161
"41",11,2021,"US-TX-618","HOUSTON (TX)                                                         ","TX ",46
"42",11,2022,"US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",54
"43",11,2022,"US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",152
"44",12,2021,"US-TX-618","HOUSTON (TX)                                                         ","TX ",34
"45",12,2021,"US-TX-641","SAN ANTONIO (TX)                                                     ","TX ",435
