"","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month","avg_hits_next_month"
"1","US-AR-693","10","2022","LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ","AR ",2,69.25,55
"2","US-CA-803","9","2022","LOS ANGELES (CA)                                                     ","CA ",1,85.75,85.4
"3","US-CO-752","5","2023","COLORADO SPRINGS (CO) - PUEBLO (CO)                                  ","CO ",3,87.4,82.75
"4","US-FL-530","3","2023","TALLAHASSEE (FL) - THOMASVILLE (GA)                                  ","FL ",20,86.75,72.2
"5","US-FL-534","1","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",16,66.25,90.5
"6","US-FL-534","10","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",19,87,77.25
"7","US-FL-534","11","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2,88.8,66.25
"8","US-FL-534","12","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2,77.25,85.4
"9","US-FL-534","3","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",20,83,80.75
"10","US-FL-534","3","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",19,90.5,79.2
"11","US-FL-534","4","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2,83.25,78.75
"12","US-FL-534","5","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",22,80.75,84.25
"13","US-FL-534","5","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",26,79.2,87.5
"14","US-FL-534","6","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",214,78.75,81.4
"15","US-FL-534","7","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",3,84.25,92
"16","US-FL-534","8","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",69,80.4,87
"17","US-FL-534","9","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",13,92,88.8
"18","US-FL-548","1","2022","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",11,64.5,77.25
"19","US-FL-548","10","2022","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",2,84.25,77.75
"20","US-FL-548","12","2021","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",8,64,87.4
"21","US-FL-548","2","2022","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",1,87.4,75.75
"22","US-FL-548","2","2023","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",85,84.4,82.25
"23","US-FL-548","3","2023","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",36,81,78
"24","US-FL-548","4","2023","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",1,82.25,76.75
"25","US-FL-548","7","2022","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",23,87.5,88.25
"26","US-FL-548","9","2022","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",2,88.25,86.6
"27","US-FL-571","2","2022","FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",2,79.6,67
"28","US-FL-571","3","2022","FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",18,71.75,68.25
"29","US-FL-571","3","2023","FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",23,77.5,67
"30","US-FL-571","5","2022","FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",10,68.25,74.75
"31","US-FL-592","3","2023","GAINESVILLE (FL)                                                     ","FL ",9,78.75,77
"32","US-FL-656","4","2022","PANAMA CITY (FL)                                                     ","FL ",228,57,51
"33","US-FL-686","1","2023","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",28,67.5,86.25
"34","US-FL-686","10","2022","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",20,89.5,78.25
"35","US-FL-686","12","2022","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",12,78.25,87
"36","US-FL-686","2","2023","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",16,87,81.25
"37","US-FL-686","3","2023","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",6,86.25,79
"38","US-FL-686","4","2022","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",9,81.5,73.2
"39","US-FL-686","4","2023","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",11,81.25,74.75
"40","US-FL-686","5","2023","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",20,79,82.5
"41","US-FL-686","6","2023","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",15,74.75,86
"42","US-FL-686","8","2022","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",2,81.4,89.5
"43","US-FL-686","9","2022","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",111,86.25,83
"44","US-FL-718","1","2022","JACKSONVILLE (FL)                                                    ","FL ",176,44.75,65.25
"45","US-FL-718","10","2022","JACKSONVILLE (FL)                                                    ","FL ",18,72.75,67.5
"46","US-FL-718","11","2022","JACKSONVILLE (FL)                                                    ","FL ",6,67.6,59.25
"47","US-FL-718","3","2023","JACKSONVILLE (FL)                                                    ","FL ",24,83.25,73.6
"48","US-FL-718","5","2022","JACKSONVILLE (FL)                                                    ","FL ",6,69,82.25
"49","US-FL-718","7","2022","JACKSONVILLE (FL)                                                    ","FL ",102,82.25,85
"50","US-FL-718","8","2022","JACKSONVILLE (FL)                                                    ","FL ",2034,77.6,72.75
"51","US-FL-718","9","2022","JACKSONVILLE (FL)                                                    ","FL ",252,85,67.6
"52","US-GA-524","1","2022","ATLANTA (GA)                                                         ","GA ",37,55,86.75
"53","US-GA-524","12","2021","ATLANTA (GA)                                                         ","GA ",1,62,80.4
"54","US-GA-524","2","2022","ATLANTA (GA)                                                         ","GA ",20,80.4,80.25
"55","US-GA-524","3","2022","ATLANTA (GA)                                                         ","GA ",5,86.75,83.5
"56","US-GA-524","6","2023","ATLANTA (GA)                                                         ","GA ",4,84.5,84
"57","US-IA-624","3","2023","SIOUX CITY (IA)                                                      ","IA ",2,78,68.2
"58","US-IA-631","4","2022","OTTUMWA (IA) - KIRKSVILLE (MO)                                       ","IA ",1,60.25,34.8
"59","US-IA-679","4","2023","DES MOINES (IA) - AMES (IA)                                          ","IA ",2,88.5,89.5
"60","US-IA-679","8","2022","DES MOINES (IA) - AMES (IA)                                          ","IA ",3,91.2,87
"61","US-IA-717","4","2022","QUINCY (IL) - HANNIBAL (MO) - KEOKUK (IA)                            ","IA ",1,49.5,61.2
"62","US-IA-725","3","2023","SIOUX CITY (IA)                                                      ","IA ",2,79.5,72.6
"63","US-IN-527","11","2022","INDIANAPOLIS (IN)                                                    ","IN ",3,81.4,74.25
"64","US-IN-588","12","2021","SOUTH BEND (IN) - ELKHART (IN)                                       ","IN ",8,65,76
"65","US-KS-616","3","2023","KANSAS CITY (MO)                                                     ","KS ",7,90.75,85.6
"66","US-MD-576","2","2022","SALISBURY (MD)                                                       ","MD ",1,89.6,76.5
"67","US-MI-505","1","2022","DETROIT (MI)                                                         ","MI ",1,53,73
"68","US-MI-505","1","2023","DETROIT (MI)                                                         ","MI ",6,67,93.25
"69","US-MI-505","2","2023","DETROIT (MI)                                                         ","MI ",11,88.6,89.75
"70","US-MI-505","8","2022","DETROIT (MI)                                                         ","MI ",8,78.6,89.25
"71","US-MI-540","2","2023","TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",1,87.2,76.25
"72","US-MI-540","5","2022","TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",34,77.25,76.5
"73","US-MI-553","2","2023","MARQUETTE (MI)                                                       ","MI ",1,65.2,84.75
"74","US-MI-563","10","2022","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,85.5,76.25
"75","US-MI-563","12","2022","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,76.25,83.2
"76","US-MI-588","9","2022","SOUTH BEND (IN) - ELKHART (IN)                                       ","MI ",1,79.75,88
"77","US-MI-773","10","2022","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,82.75,59.25
"78","US-MI-773","12","2022","GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,59.25,62.2
"79","US-MO-543","2","2022","SPRINGFIELD (MO)                                                     ","MO ",18,60,62.5
"80","US-MO-543","4","2023","SPRINGFIELD (MO)                                                     ","MO ",30,74,68.5
"81","US-MO-543","5","2022","SPRINGFIELD (MO)                                                     ","MO ",9,74.75,66.25
"82","US-MO-543","6","2023","SPRINGFIELD (MO)                                                     ","MO ",15,68.5,78
"83","US-MO-609","1","2022","ST. LOUIS (MO)                                                       ","MO ",1,56.5,78
"84","US-MO-609","10","2022","ST. LOUIS (MO)                                                       ","MO ",14,80,75.75
"85","US-MO-609","11","2022","ST. LOUIS (MO)                                                       ","MO ",12,75.2,67
"86","US-MO-609","3","2022","ST. LOUIS (MO)                                                       ","MO ",2,78,79
"87","US-MO-609","5","2022","ST. LOUIS (MO)                                                       ","MO ",2,79,83
"88","US-MO-609","7","2022","ST. LOUIS (MO)                                                       ","MO ",1,83,85
"89","US-MO-609","8","2022","ST. LOUIS (MO)                                                       ","MO ",49,81.2,80
"90","US-MO-609","9","2022","ST. LOUIS (MO)                                                       ","MO ",239,85,75.2
"91","US-MO-616","9","2022","KANSAS CITY (MO)                                                     ","MO ",14,87.75,84.8
"92","US-MO-619","2","2022","SPRINGFIELD (MO)                                                     ","MO ",18,63,58.25
