"","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month","avg_hits_next_month"
"1","US-FL-534","6","2023","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",214,79.25,81.2
"2","US-FL-534","8","2022","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",69,79.8,85.5
"3","US-FL-548","2","2023","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",85,86.4,85.75
"4","US-FL-548","3","2023","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",36,83.25,81.4
"5","US-FL-656","4","2022","PANAMA CITY (FL)                                                     ","FL ",228,55,50
"6","US-FL-686","9","2022","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",111,85,80.4
"7","US-FL-718","1","2022","JACKSONVILLE (FL)                                                    ","FL ",176,44.5,66.75
"8","US-FL-718","7","2022","JACKSONVILLE (FL)                                                    ","FL ",102,75,79
"9","US-FL-718","8","2022","JACKSONVILLE (FL)                                                    ","FL ",2034,73.8,69.25
"10","US-FL-718","9","2022","JACKSONVILLE (FL)                                                    ","FL ",252,79,64.2
"11","US-GA-524","1","2022","ATLANTA (GA)                                                         ","GA ",37,54,84
"12","US-MI-540","5","2022","TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",34,69.5,75.5
"13","US-MO-543","4","2023","SPRINGFIELD (MO)                                                     ","MO ",30,75.25,70.5
"14","US-MO-609","8","2022","ST. LOUIS (MO)                                                       ","MO ",49,82,80
"15","US-MO-609","9","2022","ST. LOUIS (MO)                                                       ","MO ",239,85,76.6
"16","US-MO-619","4","2023","SPRINGFIELD (MO)                                                     ","MO ",30,63.5,56
"17","US-NC-550","2","2023","WILMINGTON (NC)                                                      ","NC ",41,85.2,82.75
"18","US-OR-500","3","2023","PORTLAND (OR)                                                        ","OR ",70,87.75,84.6
"19","US-OR-820","3","2023","PORTLAND (OR)                                                        ","OR ",70,92.25,88
"20","US-PA-508","2","2023","PITTSBURGH (PA)                                                      ","PA ",151,87.6,88.5
"21","US-PA-516","2","2023","ERIE (PA)                                                            ","PA ",151,77.8,69
"22","US-SC-507","10","2022","SAVANNAH (GA)                                                        ","SC ",99,80.25,80.25
"23","US-TN-640","2","2022","MEMPHIS (TN)                                                         ","TN ",327,54.6,54.25
"24","US-TX-612","10","2022","SHREVEPORT (LA)                                                      ","TX ",58,78.75,69.5
"25","US-TX-618","1","2022","HOUSTON (TX)                                                         ","TX ",71,50.5,78.25
"26","US-TX-618","1","2023","HOUSTON (TX)                                                         ","TX ",73,64.5,85.25
"27","US-TX-618","12","2021","HOUSTON (TX)                                                         ","TX ",34,59,74.4
"28","US-TX-623","1","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",536,53.25,79.25
"29","US-TX-623","10","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",510,83.25,71.75
"30","US-TX-623","11","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",54,82.2,64.75
"31","US-TX-623","3","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",42,79.25,77.25
"32","US-TX-623","3","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",90,87.5,83.4
"33","US-TX-623","9","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",87,83.75,82.2
"34","US-TX-635","3","2022","AUSTIN (TX)                                                          ","TX ",84,78.25,81
"35","US-TX-641","12","2021","SAN ANTONIO (TX)                                                     ","TX ",435,59,66.8
"36","US-TX-641","3","2022","SAN ANTONIO (TX)                                                     ","TX ",42,75.25,71.25
"37","US-UT-770","10","2022","SALT LAKE CITY (UT)                                                  ","UT ",40,92,83.25
"38","US-UT-770","11","2022","SALT LAKE CITY (UT)                                                  ","UT ",152,89.6,72
"39","US-UT-770","2","2023","SALT LAKE CITY (UT)                                                  ","UT ",58,90.4,89.75
"40","US-UT-770","3","2023","SALT LAKE CITY (UT)                                                  ","UT ",30,92.75,86.2
"41","US-UT-770","7","2022","SALT LAKE CITY (UT)                                                  ","UT ",130,85,85.75
"42","US-UT-770","8","2022","SALT LAKE CITY (UT)                                                  ","UT ",59,81.8,92
"43","US-FL-548","11","2021","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",161,NA,66.5
"44","US-TX-618","11","2021","HOUSTON (TX)                                                         ","TX ",46,NA,50.5
