"","code","avg_index","num_lib","std_avg_index"
"1",500,50964.487962963,18,-0.479898132375009
"2",501,47432.5738658777,169,-0.487026264481051
"3",504,73100.3825641026,65,-0.435223325268976
"4",505,82179.0488095238,70,-0.416900701738171
"5",507,238638.7,1,-0.101132811496595
"6",508,14770.1466666667,20,-0.552945788450256
"7",511,1828405.17222222,3,3.10734426927655
"8",516,34456.415625,16,-0.513214831820847
"9",517,703092.304166667,4,0.836230486880308
"10",518,NA,1,NA
"11",524,328882.561111111,4,0.08099793859448
"12",527,203808.538095238,7,-0.171427271811157
"13",530,NA,2,NA
"14",534,517449.391666667,12,0.461564747998776
"15",540,10638.7095238095,7,-0.561283881884182
"16",543,293993.972222222,3,0.0105855605588275
"17",544,NA,1,NA
"18",545,78216.0833333333,2,-0.424898784553743
"19",548,248700.85,15,-0.0808253146268353
"20",550,71526.8,1,-0.438399139880646
"21",553,15170.5,2,-0.552137792737265
"22",556,690744.861111111,3,0.811310796635158
"23",560,161715.905555556,3,-0.256378897809532
"24",561,602711.355555556,3,0.633641000567378
"25",563,79098.3728070175,19,-0.423118142173629
"26",566,52841.8293650794,21,-0.476109269691889
"27",567,96323.8083333333,2,-0.388353655654256
"28",569,NA,1,NA
"29",571,600382.991666667,4,0.628941881354758
"30",573,230969.7,2,-0.116610437401018
"31",575,75236.9375,4,-0.430911316138441
"32",576,81130,1,-0.419017898899377
"33",577,18855.0916666667,6,-0.544701525762794
"34",584,703092.304166667,4,0.836230486880308
"35",588,36642.8508333333,20,-0.508802153998597
"36",592,NA,1,NA
"37",609,294091.494117647,17,0.0107823798853206
"38",612,7899.10555555556,3,-0.566812968511761
"39",616,1249225.53888889,4,1.93844014928777
"40",617,42551.2189393939,44,-0.496877846885384
"41",618,972147.938235294,17,1.3792403253979
"42",619,293993.972222222,3,0.0105855605588275
"43",623,126660.156540084,80,-0.327128639504772
"44",624,11862.5375,12,-0.558813944266912
"45",631,5637.53666666667,5,-0.571377281618985
"46",635,133719.537121212,22,-0.312881351494387
"47",640,166644.016666667,5,-0.246432951767909
"48",641,266127.422916667,8,-0.0456548913121515
"49",650,621457.044444444,3,0.671473672355475
"50",656,31011.8416666667,2,-0.520166693488236
"51",658,48448.3166666667,3,-0.484976285724275
"52",659,57960.9555555555,3,-0.465777815769119
"53",678,51195.4214285714,14,-0.479432060945944
"54",679,27617.4020833333,40,-0.527017373632452
"55",686,138981.072222222,3,-0.302262486977967
"56",693,121640.25,1,-0.337259847680882
"57",717,6080.03666666667,5,-0.570484225227969
"58",718,89573.0666666667,1,-0.401978046591023
"59",725,11862.5375,12,-0.558813944266912
"60",743,NA,1,NA
"61",752,1072492.28333333,2,1.58175593826161
"62",756,104920.3,1,-0.37100416000852
"63",765,85134.45,2,-0.410936091746819
"64",767,214329.95,1,-0.150192889564679
"65",770,327538.294927536,23,0.0782849318001993
"66",773,79098.3728070175,19,-0.423118142173629
"67",803,434949.122222222,36,0.295062165201125
"68",810,29808.0944444444,3,-0.522596103996652
"69",819,3168472.65555556,3,5.811877219298
"70",820,50964.487962963,18,-0.479898132375009
"71",NA,153411.949285714,105,-0.273137996606153
