"","date","hits","keyword","geo","time","gprop","category"
"1",2021-11-28,64,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"2",2021-12-05,62,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"3",2021-12-12,59,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"4",2021-12-19,65,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"5",2021-12-26,72,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"6",2022-01-02,87,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"7",2022-01-09,84,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"8",2022-01-16,80,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"9",2022-01-23,93,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"10",2022-01-30,93,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"11",2022-02-06,78,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"12",2022-02-13,75,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"13",2022-02-20,78,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"14",2022-02-27,78,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"15",2022-03-06,74,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"16",2022-03-13,77,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"17",2022-03-20,79,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"18",2022-03-27,73,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"19",2022-04-03,73,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"20",2022-04-10,75,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"21",2022-04-17,70,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"22",2022-04-24,71,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"23",2022-05-01,65,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"24",2022-05-08,68,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"25",2022-05-15,75,"library","US-FL-548","2021-12-01 2024-01-01","web",0
"26",2022-05-22,76,"library","US-FL-548","2021-12-01 2024-01-01","web",0
