"","date","hits","keyword","geo","time","gprop","category"
"1",2021-11-28,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"2",2021-12-05,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"3",2021-12-12,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"4",2021-12-19,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"5",2021-12-26,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"6",2022-01-02,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"7",2022-01-09,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"8",2022-01-16,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"9",2022-01-23,31,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"10",2022-01-30,100,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"11",2022-02-06,41,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"12",2022-02-13,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"13",2022-02-20,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"14",2022-02-27,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"15",2022-03-06,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"16",2022-03-13,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"17",2022-03-20,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"18",2022-03-27,19,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"19",2022-04-03,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"20",2022-04-10,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"21",2022-04-17,27,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"22",2022-04-24,32,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"23",2022-05-01,19,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"24",2022-05-08,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"25",2022-05-15,23,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"26",2022-05-22,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"27",2022-05-29,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"28",2022-06-05,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"29",2022-06-12,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"30",2022-06-19,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"31",2022-06-26,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"32",2022-07-03,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"33",2022-07-10,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"34",2022-07-17,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"35",2022-07-24,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"36",2022-07-31,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"37",2022-08-07,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"38",2022-08-14,28,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"39",2022-08-21,36,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"40",2022-08-28,28,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"41",2022-09-04,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"42",2022-09-11,29,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"43",2022-09-18,56,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"44",2022-09-25,28,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"45",2022-10-02,24,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"46",2022-10-09,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"47",2022-10-16,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"48",2022-10-23,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"49",2022-10-30,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"50",2022-11-06,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"51",2022-11-13,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"52",2022-11-20,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"53",2022-11-27,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"54",2022-12-04,22,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"55",2022-12-11,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"56",2022-12-18,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"57",2022-12-25,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"58",2023-01-01,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"59",2023-01-08,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"60",2023-01-15,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"61",2023-01-22,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"62",2023-01-29,30,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"63",2023-02-05,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"64",2023-02-12,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"65",2023-02-19,24,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"66",2023-02-26,24,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"67",2023-03-05,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"68",2023-03-12,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"69",2023-03-19,32,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"70",2023-03-26,39,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"71",2023-04-02,24,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"72",2023-04-09,42,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"73",2023-04-16,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"74",2023-04-23,37,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"75",2023-04-30,36,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"76",2023-05-07,31,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"77",2023-05-14,22,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"78",2023-05-21,41,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"79",2023-05-28,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"80",2023-06-04,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"81",2023-06-11,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"82",2023-06-18,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"83",2023-06-25,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"84",2023-07-02,26,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"85",2023-07-09,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"86",2023-07-16,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"87",2023-07-23,26,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"88",2023-07-30,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"89",2023-08-06,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"90",2023-08-13,26,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"91",2023-08-20,28,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"92",2023-08-27,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"93",2023-09-03,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"94",2023-09-10,31,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"95",2023-09-17,53,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"96",2023-09-24,39,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"97",2023-10-01,57,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"98",2023-10-08,24,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"99",2023-10-15,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"100",2023-10-22,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"101",2023-10-29,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"102",2023-11-05,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"103",2023-11-12,27,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"104",2023-11-19,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"105",2023-11-26,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"106",2023-12-03,30,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"107",2023-12-10,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"108",2023-12-17,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"109",2023-12-24,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"110",2023-12-31,0,"banned books","US-TX-618","2021-12-01 2024-01-01","web",0
"111",2021-11-28,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"112",2021-12-05,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"113",2021-12-12,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"114",2021-12-19,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"115",2021-12-26,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"116",2022-01-02,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"117",2022-01-09,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"118",2022-01-16,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"119",2022-01-23,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"120",2022-01-30,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"121",2022-02-06,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"122",2022-02-13,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"123",2022-02-20,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"124",2022-02-27,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"125",2022-03-06,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"126",2022-03-13,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"127",2022-03-20,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"128",2022-03-27,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"129",2022-04-03,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"130",2022-04-10,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"131",2022-04-17,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"132",2022-04-24,78,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"133",2022-05-01,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"134",2022-05-08,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"135",2022-05-15,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"136",2022-05-22,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"137",2022-05-29,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"138",2022-06-05,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"139",2022-06-12,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"140",2022-06-19,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"141",2022-06-26,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"142",2022-07-03,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"143",2022-07-10,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"144",2022-07-17,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"145",2022-07-24,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"146",2022-07-31,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"147",2022-08-07,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"148",2022-08-14,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"149",2022-08-21,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"150",2022-08-28,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"151",2022-09-04,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"152",2022-09-11,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"153",2022-09-18,100,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"154",2022-09-25,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"155",2022-10-02,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"156",2022-10-09,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"157",2022-10-16,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"158",2022-10-23,87,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"159",2022-10-30,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"160",2022-11-06,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"161",2022-11-13,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"162",2022-11-20,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"163",2022-11-27,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"164",2022-12-04,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"165",2022-12-11,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"166",2022-12-18,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"167",2022-12-25,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"168",2023-01-01,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"169",2023-01-08,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"170",2023-01-15,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"171",2023-01-22,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"172",2023-01-29,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"173",2023-02-05,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"174",2023-02-12,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"175",2023-02-19,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"176",2023-02-26,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"177",2023-03-05,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"178",2023-03-12,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"179",2023-03-19,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"180",2023-03-26,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"181",2023-04-02,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"182",2023-04-09,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"183",2023-04-16,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"184",2023-04-23,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"185",2023-04-30,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"186",2023-05-07,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"187",2023-05-14,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"188",2023-05-21,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"189",2023-05-28,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"190",2023-06-04,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"191",2023-06-11,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"192",2023-06-18,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"193",2023-06-25,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"194",2023-07-02,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"195",2023-07-09,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"196",2023-07-16,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"197",2023-07-23,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"198",2023-07-30,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"199",2023-08-06,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"200",2023-08-13,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"201",2023-08-20,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"202",2023-08-27,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"203",2023-09-03,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"204",2023-09-10,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"205",2023-09-17,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"206",2023-09-24,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"207",2023-10-01,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"208",2023-10-08,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"209",2023-10-15,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"210",2023-10-22,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"211",2023-10-29,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"212",2023-11-05,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
"213",2023-11-12,0,"banned books","US-TN-640","2021-12-01 2024-01-01","web",0
