"","DMA","Date","Hit.Difference"
"1","ANCHORAGE (AK)                                                       ","10-2021",77
"2","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","10-2021",74
"3","KANSAS CITY (MO)                                                     ","10-2021",72
"4","CHATTANOOGA (TN)                                                     ","10-2021",69
"5","HARRISONBURG                                                         ","11-2021",68
"6","RICHMOND (VA) - PETERSBURG (VA)                                      ","11-2021",67.75
"7","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","10-2021",67
"8","PHILADELPHIA (PA)                                                    ","10-2021",66
"9","SALT LAKE CITY (UT)                                                  ","10-2021",66
"10","NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   ","10-2021",65
